name,type,str_addr,addr_loc,addr_reg,post_code,phone_num
Deer Lake Health Services,Integrated Health & Social Service Centres (CISSS),,,,,
Beaufort Delta Health & Social Services,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">224 Miron Dr SS 11</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hay River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0R2</span>",
Beaufort-Delta Health & Social Services Authority,Integrated Health & Social Service Centres (CISSS),,,"<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0R6</span>",
Cold Lake Mental Health Services,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">21 Studney Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hay River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0R6</span>",
Cold Lake Healthcare Centre,Integrated Health & Social Service Centres (CISSS),,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
Mental Health Inpatient Services,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Po Box 40</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Meskanaw</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 2W0</span>",
Mental Health Outpatient Services,Integrated Health & Social Service Centres (CISSS),,,,,
Health Services - Keeweetinok Lakes Regional Health Authority No 15,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">116 Taltheilei</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2P2</span>",
Prairie Mountain Health,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">116 Taltheilei Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2P2</span>",
Parkland Regional Health Authority,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">466 Norseman Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2H8</span>",
Ambulance Emergency Calls,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">200-5112 52 St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3Z5</span>",
O-Chi-Chak Ko Sipi Health Centre,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">133 Stinson Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2K7</span>",
Watson Community Health Centre,Integrated Health & Social Service Centres (CISSS),"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">42 Kingmingya Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
Pleasant View Care Home-Saskatchewan Health Authority,Integrated Health & Social Service Centres (CISSS),,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">New Westminster</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">BC</span>",,
Public Health-Saskatchewan Health Authority,Medical Clinics,,,,,
Community Health Services Building,Clinics,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Lajeunesse Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Ile-A-La-Crosse</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 1C0</span>",
Community Health Services Building,Medical Clinics,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Boulevard de L'Atterissment</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Ile-A-La-Crosse</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 1C0</span>",
Primary Health Centre,Hospitals & Medical Centres,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Laliberte Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Beauval</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 0G0</span>",
Interlake-Eastern Regional Health Authority,Weight Control Services & Clinics,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Cole GD</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Cole Bay</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 0M0</span>",
Interlake-Eastern Regional Health Authority,Weight Control Services & Clinics,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">22 Lake Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Madsen</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">ON</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">P0V 2C0</span>",
Interlake-Eastern Regional Health Authority,Artificial Limbs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">8 Bay</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Vermilion Bay</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">ON</span>",,
Erindale Health Centre,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">416 Lakeview Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Eagle River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">ON</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">P0V 1S0</span>",
Medical Clinic Fort Smith,Pharmacies,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Ashmont</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0A 0C0</span>",
Medical Clinic,Pharmacies,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Ashmont</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0A 0C0</span>",
Hospital (Fort Smith Health Centre),First Aid Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Little Pine Ir</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Cut Knife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 0N0</span>",
Medical Clinic,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">209-3502 Taylor St E</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7H 5H9</span>",
Medical Clinic,Home Health Care Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">622 Emmeline Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7J 5G8</span>",
Medical Clinic,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1123 Spadina Cres W</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7M 1P3</span>",
Karin Vanonen- Body By Vi 90 Day Challenge Visal us Science,Hospital Equipment & Supplies,,,,,
It Works! Global Yellowknife,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">PO Box 1512 Stn Main</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2P2</span>",
Saskatoon Artificial Limb,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">3 Ellesmere Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
Lots Of Looks,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">101-280 TaigaNova Cres</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fort McMurray</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9K 0T4</span>",
Sutherland's Drugs Ltd,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">805 Memorial Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fort McMurray</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9K 0K4</span>",
Guardian - NWC - Wally's Drug,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4 Melville Dr Kam Lake</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 0G1</span>",
Sutherland's Drugs Ltd,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1 Melville Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 0G1</span>",
Rons Equipment Rental & Industrial Supply,Medical Equipment & Supplies,,,,,
Ring's I.D.A. Pharmacy,Medical Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">329 Old Airport Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3T3</span>",
Eco Medical Equipment,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">104-349 Old Airport Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3X6</span>",
MSS Ltd,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4 Vaydik Crt</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3H7</span>",
MSS Ltd,Pharmacists,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">22 Melville Drive</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2L8</span>",
Med Ex Inc,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">6605 82nd Avenue NW</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T6B 0E8</span>",
Eco Medical Equipment,Pharmacies,,,,,
Canoe North,Pharmacies,,,,,
MSS Ltd,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">129 Archibald Close</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fort McMurray</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9K 2P3</span>",
MSS Ltd,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1131 Denham Rise</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7R 0B2</span>",
Canoe North Ltd,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">2-905 4th Ave N</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7K 2N5</span>",
62 Degrees North Inc,Pharmacies,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Prince Albert</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S6V 5R4</span>",
Eco Medical Equipment,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">105-600 6 St SW</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Slave Lake</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0G 2A4</span>",
Sutherland's Drugs Ltd,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4906 50 Avenue</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Clyde</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0G 0P0</span>",
Guardian - NWC - Wally's Drug,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1 Melville Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 0G1</span>",
Yellowknife Direct Charge Co-op Pharmacy,Pharmacies,,,,,
The Medicine Shoppe Pharmacy,Pharmacies,,,,,
Sutherland's Drugs Ltd,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">329 Old Airport Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3T3</span>",
Glen's Your Independent Grocer,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">PO Box 1710</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2P3</span>",
Shoppers Drug Mart,Pharmacists,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">22 Melville Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2L8</span>",
Walmart,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">7020 82 Ave NW</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T6B 0E7</span>",
Ring's I.D.A. Pharmacy,Pharmacies,,,,,
Northern Pharmacy,Pharmacies,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
Iqaluit Valupharm Drugs,Pharmacies,,,,,
Medicine Shoppe Pharmacy,Pharmacies,,,,,
Kitnuna Pharmacy Ltd,Pharmacies,,,,,
Northern Store Pharmacy,Pharmacies,,,,,
Sutherland's Drugs Ltd,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1 Melville Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 0G1</span>",
Kitnuna Pharmacy Ltd,Pharmacies,,,,,
Yellowknife Direct Charge Co-op Pharmacy Fax Line,Pharmacies,,,,,
Sutherland's Drugs Ltd,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4 Vaydik Crt</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3H7</span>",
Guardian - NWC - Wally's Drug,Pharmacies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">6605 82nd Avenue NW</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T6B 0E8</span>",
Yellowknife Direct Charge Co-op Pharmacy,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4610 50 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1B9</span>",
The Medicine Shoppe Pharmacy,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">354 Old Airport Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3T4</span>",
Sutherland's Drugs Ltd,Hospital Equipment & Supplies,,,,,
Glen's Your Independent Grocer,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4610 50 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1B9</span>",
Shoppers Drug Mart,Vitamins & Food Supplements,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">109-4905 54 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1H6</span>",
Walmart,Home Health Care Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">354 Old Airport Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3T4</span>",
Ring's I.D.A. Pharmacy,Hospital Equipment & Supplies,,,,,
Iqaluit Valupharm Drugs,Wheelchairs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">720 Burnhamthorpe Rd W</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Mississauga</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">ON</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">L5C 3G1</span>",
Medicine Shoppe Pharmacy,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">12819 144th Street NW</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T5L 4R6</span>",
Kitnuna Pharmacy Ltd,Hospital Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">16935 110th Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>",,
Northern Store Pharmacy,Hospital Equipment & Supplies,,,,,
Sutherland's Drugs Ltd,Psychologists,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Kitnuna Pharmacy Ltd,Counselling Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
MSS Ltd,Psychologists,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">The Aero Courts, Building 1080, Apt. 7</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">P9A 1H2</span>",
MSS Ltd,Psychologists,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">201-4916 49 St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1L2</span>",
MSS Ltd,Psychologists,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">5120 49 St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1P8</span>",
Canoe North Ltd,Psychologists,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Po Box 387 Stn Main</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2N3</span>",
Muscle Heads Supplements & Fitness Wear,Psychologists,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4916 49th St GD Lcd Main</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2L8</span>",
Eco Medical Equipment,"Marriage, Individual & Family Counsellors","<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">343 Old Airport</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2N8</span>",
MSS Ltd,Counselling Services,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">17 Cameron Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 0E8</span>",
Eco Medical Equipment,Counselling Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Norman Wells</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0V0</span>",
MSS Ltd,Health Information & Services,,,,,
MSS Ltd,"Marriage, Individual & Family Counsellors",,,,,
Canoe North Ltd,Psychologists,,,,,
D Bruce Smith & Associates,"Marriage, Individual & Family Counsellors",,,,,
RY Counselling,"Marriage, Individual & Family Counsellors",,,,,
Soulstice Counselling Services,Health Information & Services,,,,,
Jodi Kapicki Counselling Services,Addiction Treatments & Information,,,,,
Hayward Counselling Services,Distress Centres,,,,,
Stirling Counselling Service,Distress Centres,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7J 2R9</span>",
Jodi Kapicki Registered Psychologist,Distress Centres,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">10624 214 Street NW</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T5S 2A5</span>",
Northstar Centre For Counselling & Psychological Services,Distress Centres,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">10624 214 Street NW</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T5S 2A5</span>",
RMW Counselling Service,Distress Centres,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">34 Industrial Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
