name,type,str_addr,addr_loc,addr_reg,post_code,phone_num
Peavey Mart,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">7802 44 St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Lloydminster</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9V 3B1</span>",
Peavey Mart,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">11442 Railway Ave E</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">North Battleford</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S9A 3P7</span>",
Peavey Mart,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">7700 99 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Peace River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T8S 2A2</span>",
ATP Nutrition,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">348 Lakeridge Dr SS 1</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Warman</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 0A1</span>",
Northern Lites Auto & Farm Supply,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">14 Hwy 6</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Ashern</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0C 0E0</span>",
Mozart Co-op Store,Farm Equipment & Supplies,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Mozart</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 2S0</span>",
Nurtien Ag Solutions,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">134 103 Marquis Crt</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7P 0C4</span>",
UFA Farm & Ranch Supply,Farms & Ranches,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">5101 53 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Two Hills</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0B 4K0</span>",
Hi-Grow Supply Inc,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">NE 5-24-1W</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fisher Branch</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0C 0Z0</span>",
Nutrien Ag Solutions,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">44 Railway Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Théodore</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 4C0</span>",
UFA Farm & Ranch Supply Store,Farms & Ranches,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4908 47 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Vermilion</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9X 1J6</span>",
Toromont Cat,Tractor Dealers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">100 Km North Of Baker Lake</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Baker Lake</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0C 0A0</span>",
Ron's Equipment Rental & Industrial Supply,Tractor Dealers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">103 Kam Lake Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2N2</span>",
Toromont Cat,Tractor Dealers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">24-71 Nuvua Street</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Rankin Inlet</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0C 0G0</span>",
Toromont Cat,Tractor Dealers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1561 Federal Road</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Gear Centre Off-Highway,Farm Equipment,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">14605 116 Ave NW</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T5M 3E8</span>",
Pat's Driveline,Farm Equipment,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">14715 116 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T5M 3E8</span>",
Gear Centre Truck & Auto,Farm Equipment,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">14811 116 Ave Nw</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Edmonton</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T5M 3E8</span>",
Olysky LP,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Farm</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Zenon Park</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1W0</span>",
Fast Genetics Inc,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">511 4th St E</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Spiritwood</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0J 2M0</span>",
Klear-Dae Charolais,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">PO Box 185</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Clyde</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0G 0P0</span>",
JoNomn Hereford Ranch,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">PO Box 111</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Clyde</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0G 0P0</span>",
Olysky LP,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Farm</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kelvington</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 1W0</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kelvington</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 1W0</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Lintlaw</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 2H0</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Lintlaw</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 2H0</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Preeceville</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 3B0</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Sturgis</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 4A0</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Sturgis</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 4A0</span>",
Fast Genetics,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Farm</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hague</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 1X0</span>",
Olysky LP,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">10333 8th Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Humboldt</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 2A0</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Invermay</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 1M0</span>",
Hill 70 Quantock Ranch Ltd,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">PO Box 10756 Rpo 10</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Lloydminster</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9V 3A8</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Wynyard</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 4T0</span>",
Pork Net Inc,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">SE 36-23-3W</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fisher Branch</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0C 0Z0</span>",
